No.,ITEMS,BRAND,SIZE,Outlet,Town,Region,Price
19,EGGS,Large,1 Doz,Food Giant,Barataria,North,24.95
20,LIQUID MILK (Full Cream),Nestle,1L,Food Giant,Barataria,North,NA
23,POWDERED MILK,Dairy Dairy,225g,Food Giant,Barataria,North,16.5
33,FLOUR,Ibis,2kg,Food Giant,Barataria,North,12.35
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Food Giant,Barataria,North,12.95
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Food Giant,Barataria,North,23
71,TOILET SOAP,Refresh,3pk,Food Giant,Barataria,North,16.5
72,TOOTHPASTE,Colgate,170g,Food Giant,Barataria,North,16.85
73,DISHWASHING LIQUID,Squeezy,725ml,Food Giant,Barataria,North,15.5
74,SOAP POWDER,Breeze Multi Active,900g,Food Giant,Barataria,North,30.95
75,SOAP POWDER,Radiante,875g,Food Giant,Barataria,North,12.95
82,CORNED BEEF,Target,340g,Food Giant,Barataria,North,16.65
84,INSTANT CHOCOLATE,Nesquik,500g,Food Giant,Barataria,North,22.5
91,MAUBY,Matouk’s,750ml,Food Giant,Barataria,North,13.2
95,ORANGE JUICE,Trinidad Citrus,19 oz,Food Giant,Barataria,North,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Food Giant,Barataria,North,25.99
15,COOKING MARGARINE,Golden Ray,227g,Ramish & Leela,San Juan,North,11.5
18,TABLE MARGARINE,Flora,445g,Ramish & Leela,San Juan,North,21
19,EGGS,Large,1 Doz,Ramish & Leela,San Juan,North,17
20,LIQUID MILK (Full Cream),Nestle,1L,Ramish & Leela,San Juan,North,12.25
23,POWDERED MILK,Dairy Dairy,225g,Ramish & Leela,San Juan,North,16.5
33,FLOUR,Ibis,2kg,Ramish & Leela,San Juan,North,12.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Ramish & Leela,San Juan,North,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Ramish & Leela,San Juan,North,24
71,TOILET SOAP,Refresh,3pk,Ramish & Leela,San Juan,North,16
72,TOOTHPASTE,Colgate,170g,Ramish & Leela,San Juan,North,NA
73,DISHWASHING LIQUID,Squeezy,725ml,Ramish & Leela,San Juan,North,16
74,SOAP POWDER,Breeze Multi Active,900g,Ramish & Leela,San Juan,North,24.95
75,SOAP POWDER,Radiante,875g,Ramish & Leela,San Juan,North,13.5
82,CORNED BEEF,Target,340g,Ramish & Leela,San Juan,North,15.5
84,INSTANT CHOCOLATE,Nesquik,500g,Ramish & Leela,San Juan,North,23.95
91,MAUBY,Matouk’s,750ml,Ramish & Leela,San Juan,North,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Ramish & Leela,San Juan,North,12
105,CORN FLAKES (Local),Sunshine,18 oz,Ramish & Leela,San Juan,North,26
15,COOKING MARGARINE,Golden Ray,227g,Tru Valu,San Juan,North,11
18,TABLE MARGARINE,Flora,445g,Tru Valu,San Juan,North,21
19,EGGS,Large,1 Doz,Tru Valu,San Juan,North,19.55
20,LIQUID MILK (Full Cream),Nestle,1L,Tru Valu,San Juan,North,13.5
23,POWDERED MILK,Dairy Dairy,225g,Tru Valu,San Juan,North,NA
33,FLOUR,Ibis,2kg,Tru Valu,San Juan,North,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Tru Valu,San Juan,North,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Tru Valu,San Juan,North,23
71,TOILET SOAP,Refresh,3pk,Tru Valu,San Juan,North,14.95
72,TOOTHPASTE,Colgate,170g,Tru Valu,San Juan,North,16.95
73,DISHWASHING LIQUID,Squeezy,725ml,Tru Valu,San Juan,North,16.5
74,SOAP POWDER,Breeze Multi Active,900g,Tru Valu,San Juan,North,25.5
75,SOAP POWDER,Radiante,875g,Tru Valu,San Juan,North,13.75
82,CORNED BEEF,Target,340g,Tru Valu,San Juan,North,16
84,INSTANT CHOCOLATE,Nesquik,500g,Tru Valu,San Juan,North,23.5
91,MAUBY,Matouk’s,750ml,Tru Valu,San Juan,North,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Tru Valu,San Juan,North,12
105,CORN FLAKES (Local),Sunshine,18 oz,Tru Valu,San Juan,North,25.99
15,COOKING MARGARINE,Golden Ray,227g,Food Basket,San Fernando,South,11.35
18,TABLE MARGARINE,Flora,445g,Food Basket,San Fernando,South,21.95
19,EGGS,Large,1 Doz,Food Basket,San Fernando,South,19.95
20,LIQUID MILK (Full Cream),Nestle,1L,Food Basket,San Fernando,South,12.5
23,POWDERED MILK,Dairy Dairy,225g,Food Basket,San Fernando,South,16.5
33,FLOUR,Ibis,2kg,Food Basket,San Fernando,South,11.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Food Basket,San Fernando,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Food Basket,San Fernando,South,23.5
71,TOILET SOAP,Refresh,3pk,Food Basket,San Fernando,South,15.5
72,TOOTHPASTE,Colgate,170g,Food Basket,San Fernando,South,16.75
73,DISHWASHING LIQUID,Squeezy,725ml,Food Basket,San Fernando,South,14.95
74,SOAP POWDER,Breeze Multi Active,900g,Food Basket,San Fernando,South,24.95
75,SOAP POWDER,Radiante,875g,Food Basket,San Fernando,South,13.5
82,CORNED BEEF,Target,340g,Food Basket,San Fernando,South,16.5
84,INSTANT CHOCOLATE,Nesquik,500g,Food Basket,San Fernando,South,23.75
91,MAUBY,Matouk’s,750ml,Food Basket,San Fernando,South,13.25
95,ORANGE JUICE,Trinidad Citrus,19 oz,Food Basket,San Fernando,South,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Food Basket,San Fernando,South,26
15,COOKING MARGARINE,Golden Ray,227g,Len Hap,San Fernando,South,11
18,TABLE MARGARINE,Flora,445g,Len Hap,San Fernando,South,20.5
19,EGGS,Large,1 Doz,Len Hap,San Fernando,South,20
20,LIQUID MILK (Full Cream),Nestle,1L,Len Hap,San Fernando,South,12.5
23,POWDERED MILK,Dairy Dairy,225g,Len Hap,San Fernando,South,16.5
33,FLOUR,Ibis,2kg,Len Hap,San Fernando,South,12.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Len Hap,San Fernando,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Len Hap,San Fernando,South,23
71,TOILET SOAP,Refresh,3pk,Len Hap,San Fernando,South,14.75
72,TOOTHPASTE,Colgate,170g,Len Hap,San Fernando,South,14.75
73,DISHWASHING LIQUID,Squeezy,725ml,Len Hap,San Fernando,South,12.75
74,SOAP POWDER,Breeze Multi Active,900g,Len Hap,San Fernando,South,23.5
75,SOAP POWDER,Radiante,875g,Len Hap,San Fernando,South,NA
82,CORNED BEEF,Target,340g,Len Hap,San Fernando,South,15
84,INSTANT CHOCOLATE,Nesquik,500g,Len Hap,San Fernando,South,22.5
91,MAUBY,Matouk’s,750ml,Len Hap,San Fernando,South,13.25
95,ORANGE JUICE,Trinidad Citrus,19 oz,Len Hap,San Fernando,South,11.5
105,CORN FLAKES (Local),Sunshine,18 oz,Len Hap,San Fernando,South,26
15,COOKING MARGARINE,Golden Ray,227g,MS Food City,Debe,South,11
18,TABLE MARGARINE,Flora,445g,MS Food City,Debe,South,21
19,EGGS,Large,1 Doz,MS Food City,Debe,South,19.95
20,LIQUID MILK (Full Cream),Nestle,1L,MS Food City,Debe,South,11.95
23,POWDERED MILK,Dairy Dairy,225g,MS Food City,Debe,South,15.95
33,FLOUR,Ibis,2kg,MS Food City,Debe,South,11.75
41,BISCUITS (Unsweetened),Crix - Original,9 oz,MS Food City,Debe,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,MS Food City,Debe,South,22.5
71,TOILET SOAP,Refresh,3pk,MS Food City,Debe,South,13.95
72,TOOTHPASTE,Colgate,170g,MS Food City,Debe,South,14.25
73,DISHWASHING LIQUID,Squeezy,725ml,MS Food City,Debe,South,14.5
74,SOAP POWDER,Breeze Multi Active,900g,MS Food City,Debe,South,24.95
75,SOAP POWDER,Radiante,875g,MS Food City,Debe,South,13.5
82,CORNED BEEF,Target,340g,MS Food City,Debe,South,15
84,INSTANT CHOCOLATE,Nesquik,500g,MS Food City,Debe,South,23.75
91,MAUBY,Matouk’s,750ml,MS Food City,Debe,South,13.25
95,ORANGE JUICE,Trinidad Citrus,19 oz,MS Food City,Debe,South,13.25
105,CORN FLAKES (Local),Sunshine,18 oz,MS Food City,Debe,South,26
15,COOKING MARGARINE,Golden Ray,227g,G & N,Debe,South,10.99
18,TABLE MARGARINE,Flora,445g,G & N,Debe,South,21.95
19,EGGS,Large,1 Doz,G & N,Debe,South,20.95
20,LIQUID MILK (Full Cream),Nestle,1L,G & N,Debe,South,12.95
23,POWDERED MILK,Dairy Dairy,225g,G & N,Debe,South,16.5
33,FLOUR,Ibis,2kg,G & N,Debe,South,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,G & N,Debe,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,G & N,Debe,South,24.99
71,TOILET SOAP,Refresh,3pk,G & N,Debe,South,16.95
72,TOOTHPASTE,Colgate,170g,G & N,Debe,South,17.95
73,DISHWASHING LIQUID,Squeezy,725ml,G & N,Debe,South,13.95
74,SOAP POWDER,Breeze Multi Active,900g,G & N,Debe,South,25.49
75,SOAP POWDER,Radiante,875g,G & N,Debe,South,13.5
82,CORNED BEEF,Target,340g,G & N,Debe,South,16.95
84,INSTANT CHOCOLATE,Nesquik,500g,G & N,Debe,South,23.95
91,MAUBY,Matouk’s,750ml,G & N,Debe,South,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,G & N,Debe,South,11.5
105,CORN FLAKES (Local),Sunshine,18 oz,G & N,Debe,South,NA
15,COOKING MARGARINE,Golden Ray,227g,Stop & Shop,Siparia/Fyzabad,South,12
18,TABLE MARGARINE,Flora,445g,Stop & Shop,Siparia/Fyzabad,South,23
19,EGGS,Large,1 Doz,Stop & Shop,Siparia/Fyzabad,South,20
20,LIQUID MILK (Full Cream),Nestle,1L,Stop & Shop,Siparia/Fyzabad,South,13.5
23,POWDERED MILK,Dairy Dairy,225g,Stop & Shop,Siparia/Fyzabad,South,NA
33,FLOUR,Ibis,2kg,Stop & Shop,Siparia/Fyzabad,South,13.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Stop & Shop,Siparia/Fyzabad,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Stop & Shop,Siparia/Fyzabad,South,24
71,TOILET SOAP,Refresh,3pk,Stop & Shop,Siparia/Fyzabad,South,17.25
72,TOOTHPASTE,Colgate,170g,Stop & Shop,Siparia/Fyzabad,South,18
73,DISHWASHING LIQUID,Squeezy,725ml,Stop & Shop,Siparia/Fyzabad,South,NA
74,SOAP POWDER,Breeze Multi Active,900g,Stop & Shop,Siparia/Fyzabad,South,26.5
75,SOAP POWDER,Radiante,875g,Stop & Shop,Siparia/Fyzabad,South,14.5
82,CORNED BEEF,Target,340g,Stop & Shop,Siparia/Fyzabad,South,17.25
84,INSTANT CHOCOLATE,Nesquik,500g,Stop & Shop,Siparia/Fyzabad,South,NA
91,MAUBY,Matouk’s,750ml,Stop & Shop,Siparia/Fyzabad,South,14
95,ORANGE JUICE,Trinidad Citrus,19 oz,Stop & Shop,Siparia/Fyzabad,South,13.5
105,CORN FLAKES (Local),Sunshine,18 oz,Stop & Shop,Siparia/Fyzabad,South,26
15,COOKING MARGARINE,Golden Ray,227g,Anand Low Price,Siparia/Fyzabad,South,10.95
18,TABLE MARGARINE,Flora,445g,Anand Low Price,Siparia/Fyzabad,South,19.95
19,EGGS,Large,1 Doz,Anand Low Price,Siparia/Fyzabad,South,19.95
20,LIQUID MILK (Full Cream),Nestle,1L,Anand Low Price,Siparia/Fyzabad,South,13.95
23,POWDERED MILK,Dairy Dairy,225g,Anand Low Price,Siparia/Fyzabad,South,16.5
33,FLOUR,Ibis,2kg,Anand Low Price,Siparia/Fyzabad,South,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Anand Low Price,Siparia/Fyzabad,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Anand Low Price,Siparia/Fyzabad,South,22.95
71,TOILET SOAP,Refresh,3pk,Anand Low Price,Siparia/Fyzabad,South,15.95
72,TOOTHPASTE,Colgate,170g,Anand Low Price,Siparia/Fyzabad,South,13.95
73,DISHWASHING LIQUID,Squeezy,725ml,Anand Low Price,Siparia/Fyzabad,South,NA
74,SOAP POWDER,Breeze Multi Active,900g,Anand Low Price,Siparia/Fyzabad,South,24.95
75,SOAP POWDER,Radiante,875g,Anand Low Price,Siparia/Fyzabad,South,13.95
82,CORNED BEEF,Target,340g,Anand Low Price,Siparia/Fyzabad,South,16.95
84,INSTANT CHOCOLATE,Nesquik,500g,Anand Low Price,Siparia/Fyzabad,South,24.95
91,MAUBY,Matouk’s,750ml,Anand Low Price,Siparia/Fyzabad,South,14.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Anand Low Price,Siparia/Fyzabad,South,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Anand Low Price,Siparia/Fyzabad,South,26
15,COOKING MARGARINE,Golden Ray,227g,Peiping,Point Fortin,South,10.99
18,TABLE MARGARINE,Flora,445g,Peiping,Point Fortin,South,18.95
19,EGGS,Large,1 Doz,Peiping,Point Fortin,South,22.95
20,LIQUID MILK (Full Cream),Nestle,1L,Peiping,Point Fortin,South,11.75
23,POWDERED MILK,Dairy Dairy,225g,Peiping,Point Fortin,South,16.5
33,FLOUR,Ibis,2kg,Peiping,Point Fortin,South,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Peiping,Point Fortin,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Peiping,Point Fortin,South,23
71,TOILET SOAP,Refresh,3pk,Peiping,Point Fortin,South,14.95
72,TOOTHPASTE,Colgate,170g,Peiping,Point Fortin,South,15.99
73,DISHWASHING LIQUID,Squeezy,725ml,Peiping,Point Fortin,South,12.95
74,SOAP POWDER,Breeze Multi Active,900g,Peiping,Point Fortin,South,25.95
75,SOAP POWDER,Radiante,875g,Peiping,Point Fortin,South,13.95
82,CORNED BEEF,Target,340g,Peiping,Point Fortin,South,16.65
84,INSTANT CHOCOLATE,Nesquik,500g,Peiping,Point Fortin,South,23.75
91,MAUBY,Matouk’s,750ml,Peiping,Point Fortin,South,13.75
95,ORANGE JUICE,Trinidad Citrus,19 oz,Peiping,Point Fortin,South,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Peiping,Point Fortin,South,25.95
15,COOKING MARGARINE,Golden Ray,227g,Persad's,Point Fortin,South,10.95
18,TABLE MARGARINE,Flora,445g,Persad's,Point Fortin,South,21.99
19,EGGS,Large,1 Doz,Persad's,Point Fortin,South,19.49
20,LIQUID MILK (Full Cream),Nestle,1L,Persad's,Point Fortin,South,12.99
23,POWDERED MILK,Dairy Dairy,225g,Persad's,Point Fortin,South,16.5
33,FLOUR,Ibis,2kg,Persad's,Point Fortin,South,12.99
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Persad's,Point Fortin,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Persad's,Point Fortin,South,23.99
71,TOILET SOAP,Refresh,3pk,Persad's,Point Fortin,South,15.99
72,TOOTHPASTE,Colgate,170g,Persad's,Point Fortin,South,14.99
73,DISHWASHING LIQUID,Squeezy,725ml,Persad's,Point Fortin,South,14.99
74,SOAP POWDER,Breeze Multi Active,900g,Persad's,Point Fortin,South,25.99
75,SOAP POWDER,Radiante,875g,Persad's,Point Fortin,South,13.49
82,CORNED BEEF,Target,340g,Persad's,Point Fortin,South,15.99
84,INSTANT CHOCOLATE,Nesquik,500g,Persad's,Point Fortin,South,NA
91,MAUBY,Matouk’s,750ml,Persad's,Point Fortin,South,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,Persad's,Point Fortin,South,11.99
105,CORN FLAKES (Local),Sunshine,18 oz,Persad's,Point Fortin,South,25.99
15,COOKING MARGARINE,Golden Ray,227g,SNSR,Princes Town,South,11.95
18,TABLE MARGARINE,Flora,445g,SNSR,Princes Town,South,22.95
19,EGGS,Large,1 Doz,SNSR,Princes Town,South,23.95
20,LIQUID MILK (Full Cream),Nestle,1L,SNSR,Princes Town,South,13.95
23,POWDERED MILK,Dairy Dairy,225g,SNSR,Princes Town,South,16.5
33,FLOUR,Ibis,2kg,SNSR,Princes Town,South,13.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,SNSR,Princes Town,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,SNSR,Princes Town,South,24.95
71,TOILET SOAP,Refresh,3pk,SNSR,Princes Town,South,14.95
72,TOOTHPASTE,Colgate,170g,SNSR,Princes Town,South,NA
73,DISHWASHING LIQUID,Squeezy,725ml,SNSR,Princes Town,South,NA
74,SOAP POWDER,Breeze Multi Active,900g,SNSR,Princes Town,South,NA
75,SOAP POWDER,Radiante,875g,SNSR,Princes Town,South,NA
82,CORNED BEEF,Target,340g,SNSR,Princes Town,South,16.95
84,INSTANT CHOCOLATE,Nesquik,500g,SNSR,Princes Town,South,NA
91,MAUBY,Matouk’s,750ml,SNSR,Princes Town,South,NA
95,ORANGE JUICE,Trinidad Citrus,19 oz,SNSR,Princes Town,South,NA
105,CORN FLAKES (Local),Sunshine,18 oz,SNSR,Princes Town,South,25.95
15,COOKING MARGARINE,Golden Ray,227g,Persad D' Food King,Princes Town,South,10.99
18,TABLE MARGARINE,Flora,445g,Persad D' Food King,Princes Town,South,19.99
19,EGGS,Large,1 Doz,Persad D' Food King,Princes Town,South,NA
20,LIQUID MILK (Full Cream),Nestle,1L,Persad D' Food King,Princes Town,South,12.99
23,POWDERED MILK,Dairy Dairy,225g,Persad D' Food King,Princes Town,South,16.5
33,FLOUR,Ibis,2kg,Persad D' Food King,Princes Town,South,12.99
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Persad D' Food King,Princes Town,South,12.99
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Persad D' Food King,Princes Town,South,23.49
71,TOILET SOAP,Refresh,3pk,Persad D' Food King,Princes Town,South,15.99
72,TOOTHPASTE,Colgate,170g,Persad D' Food King,Princes Town,South,16.99
73,DISHWASHING LIQUID,Squeezy,725ml,Persad D' Food King,Princes Town,South,14.99
74,SOAP POWDER,Breeze Multi Active,900g,Persad D' Food King,Princes Town,South,31.49
75,SOAP POWDER,Radiante,875g,Persad D' Food King,Princes Town,South,13.49
82,CORNED BEEF,Target,340g,Persad D' Food King,Princes Town,South,15.99
84,INSTANT CHOCOLATE,Nesquik,500g,Persad D' Food King,Princes Town,South,23.99
91,MAUBY,Matouk’s,750ml,Persad D' Food King,Princes Town,South,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,Persad D' Food King,Princes Town,South,11.99
105,CORN FLAKES (Local),Sunshine,18 oz,Persad D' Food King,Princes Town,South,NA
15,COOKING MARGARINE,Golden Ray,227g,S & S Persad,Rio Claro,South,11
18,TABLE MARGARINE,Flora,445g,S & S Persad,Rio Claro,South,18
19,EGGS,Large,1 Doz,S & S Persad,Rio Claro,South,20
20,LIQUID MILK (Full Cream),Nestle,1L,S & S Persad,Rio Claro,South,11.5
23,POWDERED MILK,Dairy Dairy,225g,S & S Persad,Rio Claro,South,16.5
33,FLOUR,Ibis,2kg,S & S Persad,Rio Claro,South,11.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,S & S Persad,Rio Claro,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,S & S Persad,Rio Claro,South,23
71,TOILET SOAP,Refresh,3pk,S & S Persad,Rio Claro,South,NA
72,TOOTHPASTE,Colgate,170g,S & S Persad,Rio Claro,South,16
73,DISHWASHING LIQUID,Squeezy,725ml,S & S Persad,Rio Claro,South,14
74,SOAP POWDER,Breeze Multi Active,900g,S & S Persad,Rio Claro,South,25
75,SOAP POWDER,Radiante,875g,S & S Persad,Rio Claro,South,14
82,CORNED BEEF,Target,340g,S & S Persad,Rio Claro,South,15
84,INSTANT CHOCOLATE,Nesquik,500g,S & S Persad,Rio Claro,South,22
91,MAUBY,Matouk’s,750ml,S & S Persad,Rio Claro,South,13
95,ORANGE JUICE,Trinidad Citrus,19 oz,S & S Persad,Rio Claro,South,12
105,CORN FLAKES (Local),Sunshine,18 oz,S & S Persad,Rio Claro,South,26
15,COOKING MARGARINE,Golden Ray,227g,Persad D' Food King,Rio Claro,South,10.99
18,TABLE MARGARINE,Flora,445g,Persad D' Food King,Rio Claro,South,19.99
19,EGGS,Large,1 Doz,Persad D' Food King,Rio Claro,South,20.99
20,LIQUID MILK (Full Cream),Nestle,1L,Persad D' Food King,Rio Claro,South,12.99
23,POWDERED MILK,Dairy Dairy,225g,Persad D' Food King,Rio Claro,South,16.5
33,FLOUR,Ibis,2kg,Persad D' Food King,Rio Claro,South,12.99
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Persad D' Food King,Rio Claro,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Persad D' Food King,Rio Claro,South,23.49
71,TOILET SOAP,Refresh,3pk,Persad D' Food King,Rio Claro,South,15.99
72,TOOTHPASTE,Colgate,170g,Persad D' Food King,Rio Claro,South,16.99
73,DISHWASHING LIQUID,Squeezy,725ml,Persad D' Food King,Rio Claro,South,14.99
74,SOAP POWDER,Breeze Multi Active,900g,Persad D' Food King,Rio Claro,South,25.99
75,SOAP POWDER,Radiante,875g,Persad D' Food King,Rio Claro,South,13.49
82,CORNED BEEF,Target,340g,Persad D' Food King,Rio Claro,South,15.99
84,INSTANT CHOCOLATE,Nesquik,500g,Persad D' Food King,Rio Claro,South,23.99
91,MAUBY,Matouk’s,750ml,Persad D' Food King,Rio Claro,South,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Persad D' Food King,Rio Claro,South,11.99
105,CORN FLAKES (Local),Sunshine,18 oz,Persad D' Food King,Rio Claro,South,25.99
15,COOKING MARGARINE,Golden Ray,227g,S & S Persad,Mayaro,South,11
18,TABLE MARGARINE,Flora,445g,S & S Persad,Mayaro,South,18
19,EGGS,Large,1 Doz,S & S Persad,Mayaro,South,20
20,LIQUID MILK (Full Cream),Nestle,1L,S & S Persad,Mayaro,South,11.5
23,POWDERED MILK,Dairy Dairy,225g,S & S Persad,Mayaro,South,16.5
33,FLOUR,Ibis,2kg,S & S Persad,Mayaro,South,11.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,S & S Persad,Mayaro,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,S & S Persad,Mayaro,South,23
71,TOILET SOAP,Refresh,3pk,S & S Persad,Mayaro,South,14
72,TOOTHPASTE,Colgate,170g,S & S Persad,Mayaro,South,16
73,DISHWASHING LIQUID,Squeezy,725ml,S & S Persad,Mayaro,South,14
74,SOAP POWDER,Breeze Multi Active,900g,S & S Persad,Mayaro,South,25
75,SOAP POWDER,Radiante,875g,S & S Persad,Mayaro,South,14
82,CORNED BEEF,Target,340g,S & S Persad,Mayaro,South,15
84,INSTANT CHOCOLATE,Nesquik,500g,S & S Persad,Mayaro,South,22
91,MAUBY,Matouk’s,750ml,S & S Persad,Mayaro,South,13
95,ORANGE JUICE,Trinidad Citrus,19 oz,S & S Persad,Mayaro,South,12
105,CORN FLAKES (Local),Sunshine,18 oz,S & S Persad,Mayaro,South,26
15,COOKING MARGARINE,Golden Ray,227g,Persad D' Food King,Mayaro,South,10.99
18,TABLE MARGARINE,Flora,445g,Persad D' Food King,Mayaro,South,21.49
19,EGGS,Large,1 Doz,Persad D' Food King,Mayaro,South,NA
20,LIQUID MILK (Full Cream),Nestle,1L,Persad D' Food King,Mayaro,South,9.99
23,POWDERED MILK,Dairy Dairy,225g,Persad D' Food King,Mayaro,South,16.5
33,FLOUR,Ibis,2kg,Persad D' Food King,Mayaro,South,12.99
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Persad D' Food King,Mayaro,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Persad D' Food King,Mayaro,South,23.49
71,TOILET SOAP,Refresh,3pk,Persad D' Food King,Mayaro,South,15.99
72,TOOTHPASTE,Colgate,170g,Persad D' Food King,Mayaro,South,16.99
73,DISHWASHING LIQUID,Squeezy,725ml,Persad D' Food King,Mayaro,South,14.99
74,SOAP POWDER,Breeze Multi Active,900g,Persad D' Food King,Mayaro,South,25.99
75,SOAP POWDER,Radiante,875g,Persad D' Food King,Mayaro,South,13.49
82,CORNED BEEF,Target,340g,Persad D' Food King,Mayaro,South,15.99
84,INSTANT CHOCOLATE,Nesquik,500g,Persad D' Food King,Mayaro,South,23.99
91,MAUBY,Matouk’s,750ml,Persad D' Food King,Mayaro,South,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,Persad D' Food King,Mayaro,South,11.99
105,CORN FLAKES (Local),Sunshine,18 oz,Persad D' Food King,Mayaro,South,25.99
15,COOKING MARGARINE,Golden Ray,227g,Viewport,Tobago,Tobago,11.45
18,TABLE MARGARINE,Flora,445g,Viewport,Tobago,Tobago,NA
19,EGGS,Large,1 Doz,Viewport,Tobago,Tobago,24
20,LIQUID MILK (Full Cream),Nestle,1L,Viewport,Tobago,Tobago,13
23,POWDERED MILK,Dairy Dairy,225g,Viewport,Tobago,Tobago,NA
33,FLOUR,Ibis,2kg,Viewport,Tobago,Tobago,14.2
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Viewport,Tobago,Tobago,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Viewport,Tobago,Tobago,23.45
71,TOILET SOAP,Refresh,3pk,Viewport,Tobago,Tobago,14.1
72,TOOTHPASTE,Colgate,170g,Viewport,Tobago,Tobago,NA
73,DISHWASHING LIQUID,Squeezy,725ml,Viewport,Tobago,Tobago,13.65
74,SOAP POWDER,Breeze Multi Active,900g,Viewport,Tobago,Tobago,27.75
75,SOAP POWDER,Radiante,875g,Viewport,Tobago,Tobago,22.5
82,CORNED BEEF,Target,340g,Viewport,Tobago,Tobago,14.55
84,INSTANT CHOCOLATE,Nesquik,500g,Viewport,Tobago,Tobago,22.8
91,MAUBY,Matouk’s,750ml,Viewport,Tobago,Tobago,14.35
95,ORANGE JUICE,Trinidad Citrus,19 oz,Viewport,Tobago,Tobago,11.9
105,CORN FLAKES (Local),Sunshine,18 oz,Viewport,Tobago,Tobago,24.95
15,COOKING MARGARINE,Golden Ray,227g,Penny Savers,Tobago,Tobago,11
18,TABLE MARGARINE,Flora,445g,Penny Savers,Tobago,Tobago,20.95
19,EGGS,Large,1 Doz,Penny Savers,Tobago,Tobago,24
20,LIQUID MILK (Full Cream),Nestle,1L,Penny Savers,Tobago,Tobago,12.3
23,POWDERED MILK,Dairy Dairy,225g,Penny Savers,Tobago,Tobago,16.2
33,FLOUR,Ibis,2kg,Penny Savers,Tobago,Tobago,13.6
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Penny Savers,Tobago,Tobago,12.5
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Penny Savers,Tobago,Tobago,23.45
71,TOILET SOAP,Refresh,3pk,Penny Savers,Tobago,Tobago,12.95
72,TOOTHPASTE,Colgate,170g,Penny Savers,Tobago,Tobago,16.15
73,DISHWASHING LIQUID,Squeezy,725ml,Penny Savers,Tobago,Tobago,14.35
74,SOAP POWDER,Breeze Multi Active,900g,Penny Savers,Tobago,Tobago,23.9
75,SOAP POWDER,Radiante,875g,Penny Savers,Tobago,Tobago,13.95
82,CORNED BEEF,Target,340g,Penny Savers,Tobago,Tobago,15.3
84,INSTANT CHOCOLATE,Nesquik,500g,Penny Savers,Tobago,Tobago,22.3
91,MAUBY,Matouk’s,750ml,Penny Savers,Tobago,Tobago,13.2
