No.,ITEMS,BRAND,SIZE,Outlet,Town,Region,Price
71,TOILET SOAP,Refresh,3pk,Xtra Foods,Chaguanas,Central,14.95
72,TOOTHPASTE,Colgate,170g,Xtra Foods,Chaguanas,Central,14.95
73,DISHWASHING LIQUID,Squeezy,725ml,Xtra Foods,Chaguanas,Central,14.95
74,SOAP POWDER,Breeze Multi Active,900g,Xtra Foods,Chaguanas,Central,24.95
75,SOAP POWDER,Radiante,875g,Xtra Foods,Chaguanas,Central,13.95
82,CORNED BEEF,Target,340g,Xtra Foods,Chaguanas,Central,14.95
84,INSTANT CHOCOLATE,Nesquik,500g,Xtra Foods,Chaguanas,Central,24.95
91,MAUBY,Matouk’s,750ml,Xtra Foods,Chaguanas,Central,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Xtra Foods,Chaguanas,Central,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Xtra Foods,Chaguanas,Central,25.95
15,COOKING MARGARINE,Golden Ray,227g,Cash & Carry,Couva,Central,10.99
18,TABLE MARGARINE,Flora,445g,Cash & Carry,Couva,Central,20.99
19,EGGS,Large,1 Doz,Cash & Carry,Couva,Central,19.99
20,LIQUID MILK (Full Cream),Nestle,1L,Cash & Carry,Couva,Central,11.99
23,POWDERED MILK,Dairy Dairy,225g,Cash & Carry,Couva,Central,16.49
33,FLOUR,Ibis,2kg,Cash & Carry,Couva,Central,12.99
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Cash & Carry,Couva,Central,12.99
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Cash & Carry,Couva,Central,22.49
71,TOILET SOAP,Refresh,3pk,Cash & Carry,Couva,Central,14.49
72,TOOTHPASTE,Colgate,170g,Cash & Carry,Couva,Central,NA
73,DISHWASHING LIQUID,Squeezy,725ml,Cash & Carry,Couva,Central,13.99
74,SOAP POWDER,Breeze Multi Active,900g,Cash & Carry,Couva,Central,29.99
75,SOAP POWDER,Radiante,875g,Cash & Carry,Couva,Central,13.49
82,CORNED BEEF,Target,340g,Cash & Carry,Couva,Central,14.99
84,INSTANT CHOCOLATE,Nesquik,500g,Cash & Carry,Couva,Central,22.49
91,MAUBY,Matouk’s,750ml,Cash & Carry,Couva,Central,12.99
95,ORANGE JUICE,Trinidad Citrus,19 oz,Cash & Carry,Couva,Central,10.99
105,CORN FLAKES (Local),Sunshine,18 oz,Cash & Carry,Couva,Central,NA
15,COOKING MARGARINE,Golden Ray,227g,Toolsie's,Couva,Central,11.5
18,TABLE MARGARINE,Flora,445g,Toolsie's,Couva,Central,21
19,EGGS,Large,1 Doz,Toolsie's,Couva,Central,21
20,LIQUID MILK (Full Cream),Nestle,1L,Toolsie's,Couva,Central,13.75
23,POWDERED MILK,Dairy Dairy,225g,Toolsie's,Couva,Central,16.5
33,FLOUR,Ibis,2kg,Toolsie's,Couva,Central,13
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Toolsie's,Couva,Central,NA
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Toolsie's,Couva,Central,24.75
71,TOILET SOAP,Refresh,3pk,Toolsie's,Couva,Central,14.75
72,TOOTHPASTE,Colgate,170g,Toolsie's,Couva,Central,15.5
73,DISHWASHING LIQUID,Squeezy,725ml,Toolsie's,Couva,Central,15
74,SOAP POWDER,Breeze Multi Active,900g,Toolsie's,Couva,Central,26.5
75,SOAP POWDER,Radiante,875g,Toolsie's,Couva,Central,14.5
82,CORNED BEEF,Target,340g,Toolsie's,Couva,Central,16.5
84,INSTANT CHOCOLATE,Nesquik,500g,Toolsie's,Couva,Central,23.5
91,MAUBY,Matouk’s,750ml,Toolsie's,Couva,Central,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Toolsie's,Couva,Central,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Toolsie's,Couva,Central,26
15,COOKING MARGARINE,Golden Ray,227g,Massy Stores St. Augustine,Curepe,East,11.2
18,TABLE MARGARINE,Flora,445g,Massy Stores St. Augustine,Curepe,East,21.3
19,EGGS,Large,1 Doz,Massy Stores St. Augustine,Curepe,East,20.5
20,LIQUID MILK (Full Cream),Nestle,1L,Massy Stores St. Augustine,Curepe,East,11.25
23,POWDERED MILK,Dairy Dairy,225g,Massy Stores St. Augustine,Curepe,East,16.5
33,FLOUR,Ibis,2kg,Massy Stores St. Augustine,Curepe,East,13
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Massy Stores St. Augustine,Curepe,East,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Massy Stores St. Augustine,Curepe,East,23
71,TOILET SOAP,Refresh,3pk,Massy Stores St. Augustine,Curepe,East,14.95
72,TOOTHPASTE,Colgate,170g,Massy Stores St. Augustine,Curepe,East,15.5
73,DISHWASHING LIQUID,Squeezy,725ml,Massy Stores St. Augustine,Curepe,East,15.95
74,SOAP POWDER,Breeze Multi Active,900g,Massy Stores St. Augustine,Curepe,East,24.95
75,SOAP POWDER,Radiante,875g,Massy Stores St. Augustine,Curepe,East,13.5
82,CORNED BEEF,Target,340g,Massy Stores St. Augustine,Curepe,East,16.9
84,INSTANT CHOCOLATE,Nesquik,500g,Massy Stores St. Augustine,Curepe,East,24
91,MAUBY,Matouk’s,750ml,Massy Stores St. Augustine,Curepe,East,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,Massy Stores St. Augustine,Curepe,East,12
